,skeleton-id,node-id-src,node-id-dst,branch-distance,branch-type,mean-pixel-value,stdev-pixel-value,image-coord-src-0,image-coord-src-1,image-coord-dst-0,image-coord-dst-1,coord-src-0,coord-src-1,coord-dst-0,coord-dst-1,euclidean-distance
35,23,1781,2583,36.76179174378052,1,1.0,0.0,282.3333333333333,1078.3333333333333,265.0,1108.0,282.3333333333333,1078.3333333333333,265.0,1108.0,34.35921354681389
36,23,1781,1782,6.449673171197599,2,1.0,0.0,282.3333333333333,1078.3333333333333,288.75,1078.0,282.3333333333333,1078.3333333333333,288.75,1078.0,6.425318842067093
37,23,1782,3138,18.08641734437201,1,1.0,0.0,288.75,1078.0,299.0,1064.0,288.75,1078.0,299.0,1064.0,17.351152699460634
38,23,1782,3935,74.95647502946079,1,1.0,0.0,288.75,1078.0,334.0,1125.0,288.75,1078.0,334.0,1125.0,65.24233671474374
39,8,1855,2089,33.9148444691182,2,1.0,0.0,291.75,1399.0,304.0,1370.0,291.75,1399.0,304.0,1370.0,31.481145150708862
40,8,1855,2181,39.101766876878536,2,1.0,0.0,291.75,1399.0,307.25,1432.0,291.75,1399.0,307.25,1432.0,36.45888094826828
41,24,1856,2270,61.883439355271136,1,1.0,0.0,292.6666666666667,1604.3333333333333,248.0,1571.0,292.6666666666667,1604.3333333333333,248.0,1571.0,55.73349282273828
42,24,1856,3127,17.770740983063142,1,1.0,0.0,292.6666666666667,1604.3333333333333,298.0,1620.0,292.6666666666667,1604.3333333333333,298.0,1620.0,16.54958878307528
43,24,1856,2194,42.46972097616311,2,1.0,0.0,292.6666666666667,1604.3333333333333,325.3333333333333,1580.6666666666667,292.6666666666667,1604.3333333333333,325.3333333333333,1580.6666666666667,40.33884259894194
44,22,1857,2929,9.772708845387246,1,1.0,0.0,298.0,946.75,289.0,949.0,298.0,946.75,289.0,949.0,9.276987657639737
45,22,1857,3080,13.164213562373096,1,1.0,0.0,298.0,946.75,297.0,934.0,298.0,946.75,297.0,934.0,12.789155562428663
46,22,1857,2864,49.250845811313205,2,1.0,0.0,298.0,946.75,344.75,951.0,298.0,946.75,344.75,951.0,46.942784323045856
47,25,1859,1913,11.071067811865476,0,1.0,0.0,206.0,2048.0,212.0,2056.0,206.0,2048.0,212.0,2056.0,10.0
48,26,1868,2956,8.113886733570716,1,1.0,0.0,298.6666666666667,810.3333333333334,291.0,809.0,298.6666666666667,810.3333333333334,291.0,809.0,7.781745019952527
49,26,1868,3135,3.699673171197554,1,1.0,0.0,298.6666666666667,810.3333333333334,299.0,814.0,298.6666666666667,810.3333333333334,299.0,814.0,3.6817870057290474
50,26,1868,2192,99.52838461364017,2,1.0,0.0,298.6666666666667,810.3333333333334,319.25,720.0,298.6666666666667,810.3333333333334,319.25,720.0,92.64871678670045
51,20,1902,2043,119.71067811865466,0,1.0,0.0,211.0,1370.0,229.0,1287.0,211.0,1370.0,229.0,1287.0,84.92938243034621
52,28,1999,3197,175.29646455628165,0,1.0,0.0,223.0,1662.0,300.0,1781.0,223.0,1662.0,300.0,1781.0,141.7391971192161
53,29,2077,2081,12.828427124746192,0,1.0,0.0,233.0,1191.0,233.0,1203.0,233.0,1191.0,233.0,1203.0,12.0
